year,city,country,avg_temp
1958,Kansas City,United States,11.56
1959,Kansas City,United States,12.07
1960,Kansas City,United States,11.46
1961,Kansas City,United States,11.48
1962,Kansas City,United States,11.85
1963,Kansas City,United States,12.37
1964,Kansas City,United States,12.62
1965,Kansas City,United States,12.49
1966,Kansas City,United States,11.74
1967,Kansas City,United States,11.80
1968,Kansas City,United States,11.77
1969,Kansas City,United States,11.60
1970,Kansas City,United States,12.11
1971,Kansas City,United States,12.37
1972,Kansas City,United States,11.73
1973,Kansas City,United States,12.62
1974,Kansas City,United States,12.27
1975,Kansas City,United States,12.43
1976,Kansas City,United States,11.98
1977,Kansas City,United States,12.41
1978,Kansas City,United States,11.14
1979,Kansas City,United States,10.89
1980,Kansas City,United States,12.62
1981,Kansas City,United States,12.62
1982,Kansas City,United States,11.48
1983,Kansas City,United States,12.09
1984,Kansas City,United States,12.26
1985,Kansas City,United States,11.21
1986,Kansas City,United States,13.04
1987,Kansas City,United States,13.45
1988,Kansas City,United States,12.57
1989,Kansas City,United States,11.46
1990,Kansas City,United States,13.26
1991,Kansas City,United States,13.22
1992,Kansas City,United States,12.43
1993,Kansas City,United States,11.34
1994,Kansas City,United States,12.37
1995,Kansas City,United States,12.04
1996,Kansas City,United States,11.33
1997,Kansas City,United States,11.96
1998,Kansas City,United States,13.81
1999,Kansas City,United States,13.32
2000,Kansas City,United States,12.73
2001,Kansas City,United States,13.09
2002,Kansas City,United States,13.00
2003,Kansas City,United States,12.56
2004,Kansas City,United States,12.56
2005,Kansas City,United States,13.27
2006,Kansas City,United States,13.77
2007,Kansas City,United States,13.18
2008,Kansas City,United States,11.61
2009,Kansas City,United States,12.03
2010,Kansas City,United States,12.68
2011,Kansas City,United States,12.79
2012,Kansas City,United States,14.79
2013,Kansas City,United States,13.99
